N,P,K,temperature,humidity,ph,rainfall,label
93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,rice
31.0,40.0,22.0,29.40889385,86.16063492,6.365513634,53.35486977,mungbean
8.0,139.0,199.0,29.36947679,81.53996362,6.3364266670000005,66.13442813,grapes
98.0,27.0,27.0,24.71384065,51.29142534,7.238109556,197.6439711,coffee
22.0,72.0,85.0,18.86805647,15.65809214,6.391173589,88.51048983,chickpea
30.605350369430806,47.32660462948642,37.17120865224664,25.210633633167102,56.52849016816972,6.404731524374212,116.26156637929729,mothbeans
90.0,59.0,35.0,24.25133493,89.86454053,7.098227926,175.1742112,jute
99.0,29.0,55.0,29.19378695,91.46241065,6.660954816,26.48240255,muskmelon
39.0,21.0,9.0,13.20844373,94.02769434,6.354022554,106.2696156,orange
18.0,55.0,23.0,21.9989826,56.31006755,6.98571967,136.82743119999998,pigeonpeas
29.0,121.0,196.0,22.84852833,94.32130209,6.079497202000001,123.5977843,apple
38.0,56.0,25.0,25.74095321,45.38497051,7.88118645,67.43488235,mothbeans
39.0,65.0,53.0,35.33294932,92.11508608,6.560743092999999,235.6133585,papaya
39.0,60.0,21.0,34.89814946,63.59948557,6.97297656,64.72797143,blackgram
61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,rice
27.0,8.0,32.0,27.00648436,96.46168931,5.627860548999998,144.3331315,coconut
90.09618011563475,54.814911590522925,44.7701429098902,29.224760870196363,72.48187376612299,6.2279487411881025,157.60053292209213,rice
77.99693940796107,57.499364469971496,54.00235818466104,25.630712096156802,68.5980642971574,7.238648382033867,112.07837867006187,mango
92.35232686102452,42.92301565676978,44.8280560160181,33.55138190242638,77.17151128889326,6.020887029740656,93.33993144749546,watermelon
9.0,141.0,202.0,21.01245395,81.17931863,6.119495295,66.38448261,grapes
85.82262302343034,42.5976258658052,53.55325637244521,15.452788553335981,72.21506434589425,6.066228851359733,98.83303066377485,apple
115.0,9.0,52.0,29.06785065,90.97685539,6.019372459,29.1194739,muskmelon
96.0,41.0,40.0,23.58419277,72.00460848,6.090060478,190.4242157,jute
28.0,27.0,34.0,32.45465292,50.69693751,6.526654345,95.04871605,mango
32.0,141.0,203.0,21.25941052,92.84416234,5.821347769,109.06584709999998,apple
35.0,131.0,203.0,22.42776057,93.91722423,5.893490899,102.7230739,apple
66.32661640042573,54.36187003752213,47.73460011174761,28.886967672605376,71.40655148364107,7.481054856423187,176.61024370566264,coffee
1.0,67.0,21.0,27.52135365,60.53657684,6.551577598,48.06491307,lentil
68.0,57.0,43.0,26.08867875,80.37979919,5.706943251,182.9043504,rice
88.65315302487673,47.47163305167891,43.94625543075799,34.98971489886986,64.86406465269594,6.402198888645683,135.86514005496414,watermelon
101.0,31.0,26.0,26.70897548,69.71184111,6.861235184,158.86088869999998,coffee
20.0,77.0,23.0,34.87248659,38.83786012,5.180271502,148.25027859999997,pigeonpeas
76.0,51.0,18.0,26.16985907,71.96246617,6.247040422,79.84925393,maize
18.0,79.0,20.0,20.27514686,23.2353604,5.877347515,139.7521543,kidneybeans
44.19999391008837,44.58175903746242,37.34366214488822,26.15987238556277,76.36727475520122,6.79500915643223,148.48218906059992,kidneybeans
34.0,54.0,24.0,31.2119298,41.55934359,5.026003659,68.80141783,mothbeans
6.0,48.0,24.0,28.6362812,84.61431076,6.790736339,48.48319335,mungbean
95.01960215982668,43.21005082366439,41.4193082089588,28.682666826689356,88.30974339701127,7.037592474929439,176.16777051749807,jute
50.0,59.0,47.0,40.76998685,92.09278584,6.747975732,209.8678411,papaya
76.56766070079004,56.93255261221085,54.407291303210826,23.902981763665125,69.37935716947051,6.561688909963363,145.26593449203284,apple
12.0,78.0,23.0,16.06522754,18.72479695,5.99812453,88.06638775,kidneybeans
98.03763654309344,57.00904292714659,58.28740417617095,31.629780475683425,75.34786549879199,5.733439628501641,129.00331836300217,maize
76.0,57.0,18.0,18.9802729,74.52600826,6.092725883,94.26249353,maize
39.50420737163925,41.728111191192376,26.89302435402277,24.928973258497294,62.85946206566512,6.772566730952951,66.72064084374,chickpea
7.0,17.0,10.0,10.16431299,91.22320999,6.465913274,106.362551,orange
42.60692744445236,51.07492727944436,49.66206074677243,25.523717289679862,60.04781639899165,6.7202799000327005,137.46791582645758,kidneybeans
88.69188253117332,40.565835253802646,42.05764563734044,21.880666102421326,63.258911057080226,6.795798285403817,104.85178589494629,pomegranate
